producto_id,mes,anio,descripcion_repuesto,marca_repuesto,cantidad_total,km_promedio,tipo_ot_desc,n_ots
01001-01002,11,2025,REPUESTO FALTANTE,SIN MARCA,9.0,124314.0,Reparación / Servicio,1
01001-01002,12,2025,REPUESTO FALTANTE,SIN MARCA,15.0,161325.0,Reparación / Servicio,3
01001-01003,1,2025,REPUESTO FALTANTE,SIN MARCA,1.0,99513.0,Reparación / Servicio,1
01001-01003,2,2024,REPUESTO FALTANTE,SIN MARCA,2.0,107620.0,Reparación / Servicio,2
01001-01003,2,2025,REPUESTO FALTANTE,SIN MARCA,2.0,86365.0,Reparación / Servicio,2
01001-01003,2,2026,REPUESTO FALTANTE,SIN MARCA,1.0,159323.0,Reparación / Servicio,1
01001-01003,3,2025,REPUESTO FALTANTE,SIN MARCA,4.0,145616.66666666666,Reparación / Servicio,3
01001-01003,4,2025,REPUESTO FALTANTE,SIN MARCA,3.0,83320.0,Reparación / Servicio,3
01001-01003,5,2025,REPUESTO FALTANTE,SIN MARCA,1.0,10885.0,Reparación / Servicio,1
01001-01003,9,2024,REPUESTO FALTANTE,SIN MARCA,2.0,155959.0,Reparación / Servicio,1
01001-01003,10,2024,REPUESTO FALTANTE,SIN MARCA,2.0,169278.0,Reparación / Servicio,2
01001-01004,1,2025,REPUESTO FALTANTE,SIN MARCA,24.0,92502.0,Reparación / Servicio,24
01001-01004,1,2026,REPUESTO FALTANTE,SIN MARCA,17.0,99920.58823529411,Reparación / Servicio,17
01001-01004,2,2024,REPUESTO FALTANTE,SIN MARCA,6.0,99424.16666666667,Reparación / Servicio,6
01001-01004,2,2025,REPUESTO FALTANTE,SIN MARCA,18.0,83452.5,Reparación / Servicio,18
01001-01004,2,2026,REPUESTO FALTANTE,SIN MARCA,24.0,92667.375,Reparación / Servicio,24
01001-01004,3,2024,REPUESTO FALTANTE,SIN MARCA,22.0,76430.59090909091,Reparación / Servicio,22
01001-01004,3,2025,REPUESTO FALTANTE,SIN MARCA,16.0,111304.9375,Reparación / Servicio,16
01001-01004,3,2026,REPUESTO FALTANTE,SIN MARCA,10.0,60662.7,Reparación / Servicio,10
01001-01004,4,2024,REPUESTO FALTANTE,SIN MARCA,17.0,84948.17647058824,Reparación / Servicio,17
01001-01004,4,2025,REPUESTO FALTANTE,SIN MARCA,20.0,77598.75,Reparación / Servicio,20
01001-01004,4,2026,REPUESTO FALTANTE,SIN MARCA,19.0,85611.05263157895,Reparación / Servicio,19
01001-01004,5,2024,REPUESTO FALTANTE,SIN MARCA,11.0,82105.0,Reparación / Servicio,11
01001-01004,5,2025,REPUESTO FALTANTE,SIN MARCA,20.0,85909.7,Reparación / Servicio,20
01001-01004,5,2026,REPUESTO FALTANTE,SIN MARCA,13.0,83652.69230769231,Reparación / Servicio,13
01001-01004,6,2024,REPUESTO FALTANTE,SIN MARCA,9.0,72340.88888888889,Reparación / Servicio,9
01001-01004,6,2025,REPUESTO FALTANTE,SIN MARCA,15.0,102510.46666666666,Reparación / Servicio,15
01001-01004,7,2024,REPUESTO FALTANTE,SIN MARCA,14.0,77686.78571428571,Reparación / Servicio,14
01001-01004,7,2025,REPUESTO FALTANTE,SIN MARCA,14.0,96830.35714285714,Reparación / Servicio,14
01001-01004,8,2024,REPUESTO FALTANTE,SIN MARCA,15.0,67856.33333333333,Reparación / Servicio,15
01001-01004,8,2025,REPUESTO FALTANTE,SIN MARCA,9.0,54059.555555555555,Reparación / Servicio,9
01001-01004,9,2024,REPUESTO FALTANTE,SIN MARCA,18.0,85298.44444444444,Reparación / Servicio,18
01001-01004,9,2025,REPUESTO FALTANTE,SIN MARCA,11.0,97787.54545454546,Reparación / Servicio,11
01001-01004,10,2024,REPUESTO FALTANTE,SIN MARCA,6.0,103752.66666666667,Reparación / Servicio,6
01001-01004,10,2025,REPUESTO FALTANTE,SIN MARCA,15.0,97667.53333333334,Reparación / Servicio,15
01001-01004,11,2024,REPUESTO FALTANTE,SIN MARCA,17.0,81690.70588235294,Reparación / Servicio,17
01001-01004,11,2025,REPUESTO FALTANTE,SIN MARCA,17.0,77873.29411764706,Reparación / Servicio,17
01001-01004,12,2024,REPUESTO FALTANTE,SIN MARCA,14.0,78397.14285714286,Reparación / Servicio,14
01001-01004,12,2025,REPUESTO FALTANTE,SIN MARCA,19.0,76315.68421052632,Reparación / Servicio,19
01001-01005,2,2025,REPUESTO FALTANTE,SIN MARCA,3.0,105124.0,Reparación / Servicio,1
01001-01005,3,2024,REPUESTO FALTANTE,SIN MARCA,3.0,143517.0,Reparación / Servicio,1
01001-01005,3,2025,REPUESTO FALTANTE,SIN MARCA,8.0,134943.0,Reparación / Servicio,2
01001-01005,4,2024,REPUESTO FALTANTE,SIN MARCA,1.0,73123.0,Reparación / Servicio,1
01001-01005,4,2025,REPUESTO FALTANTE,SIN MARCA,2.0,152726.0,Reparación / Servicio,1
01001-01005,4,2026,REPUESTO FALTANTE,SIN MARCA,8.0,127131.0,Reparación / Servicio,2
01001-01005,5,2024,REPUESTO FALTANTE,SIN MARCA,9.0,151044.0,Reparación / Servicio,3
01001-01005,5,2025,REPUESTO FALTANTE,SIN MARCA,8.0,137491.0,Reparación / Servicio,2
01001-01005,5,2026,REPUESTO FALTANTE,SIN MARCA,4.0,123250.0,Reparación / Servicio,1
01001-01005,7,2025,REPUESTO FALTANTE,SIN MARCA,2.0,48145.0,Reparación / Servicio,1
01001-01005,8,2025,REPUESTO FALTANTE,SIN MARCA,3.0,175990.0,Reparación / Servicio,1
01001-01005,9,2024,REPUESTO FALTANTE,SIN MARCA,5.0,121154.0,Reparación / Servicio,1
01001-01005,11,2024,REPUESTO FALTANTE,SIN MARCA,4.0,128220.0,Reparación / Servicio,2
01001-01005,12,2024,REPUESTO FALTANTE,SIN MARCA,1.0,1.0,Reparación / Servicio,1
01001-01006,1,2025,REPUESTO FALTANTE,SIN MARCA,6.0,101596.66666666667,Reparación / Servicio,3
01001-01006,1,2026,REPUESTO FALTANTE,SIN MARCA,8.0,78300.5,Reparación / Servicio,4
01001-01006,2,2024,REPUESTO FALTANTE,SIN MARCA,5.0,58692.666666666664,Reparación / Servicio,3
01001-01006,2,2026,REPUESTO FALTANTE,SIN MARCA,3.0,83700.0,Reparación / Servicio,1
01001-01006,3,2024,REPUESTO FALTANTE,SIN MARCA,6.0,59832.0,Reparación / Servicio,2
01001-01006,3,2025,REPUESTO FALTANTE,SIN MARCA,3.0,44314.0,Reparación / Servicio,1
01001-01006,3,2026,REPUESTO FALTANTE,SIN MARCA,5.0,75400.0,Reparación / Servicio,2
01001-01006,4,2024,REPUESTO FALTANTE,SIN MARCA,6.0,62325.333333333336,Reparación / Servicio,3
01001-01006,4,2026,REPUESTO FALTANTE,SIN MARCA,4.0,90049.0,Reparación / Servicio,2
01001-01006,5,2024,REPUESTO FALTANTE,SIN MARCA,2.0,138480.0,Reparación / Servicio,1
01001-01006,7,2024,REPUESTO FALTANTE,SIN MARCA,3.0,128157.5,Reparación / Servicio,2
01001-01006,8,2024,REPUESTO FALTANTE,SIN MARCA,6.0,50157.25,Reparación / Servicio,4
01001-01006,8,2025,REPUESTO FALTANTE,SIN MARCA,4.0,52231.0,Reparación / Servicio,2
01001-01006,9,2024,REPUESTO FALTANTE,SIN MARCA,5.0,98504.0,Reparación / Servicio,2
01001-01006,10,2024,REPUESTO FALTANTE,SIN MARCA,8.0,94808.0,Reparación / Servicio,4
01001-01006,11,2024,REPUESTO FALTANTE,SIN MARCA,5.0,72098.0,Reparación / Servicio,5
01001-01006,11,2025,REPUESTO FALTANTE,SIN MARCA,6.0,152147.0,Reparación / Servicio,2
01001-01006,12,2024,REPUESTO FALTANTE,SIN MARCA,10.0,86817.0,Reparación / Servicio,6
01001-01007,3,2026,REPUESTO FALTANTE,SIN MARCA,4.0,103119.0,Reparación / Servicio,2
01001-01007,5,2025,REPUESTO FALTANTE,SIN MARCA,3.0,97660.0,Reparación / Servicio,1
01001-01007,10,2025,REPUESTO FALTANTE,SIN MARCA,4.0,100011.0,Reparación / Servicio,1
01001-01007,11,2025,REPUESTO FALTANTE,SIN MARCA,4.0,100723.0,Reparación / Servicio,1
01001-010078,1,2025,REPUESTO FALTANTE,SIN MARCA,13.0,80209.25,Reparación / Servicio,4
01001-010078,1,2026,REPUESTO FALTANTE,SIN MARCA,5.0,121297.66666666667,Reparación / Servicio,3
01001-010078,2,2025,REPUESTO FALTANTE,SIN MARCA,7.0,88996.57142857143,Reparación / Servicio,7
01001-010078,2,2026,REPUESTO FALTANTE,SIN MARCA,1.0,78332.0,Reparación / Servicio,1
01001-010078,3,2025,REPUESTO FALTANTE,SIN MARCA,2.0,70352.5,Reparación / Servicio,2
01001-010078,3,2026,REPUESTO FALTANTE,SIN MARCA,12.0,89819.6,Reparación / Servicio,5
01001-010078,4,2025,REPUESTO FALTANTE,SIN MARCA,9.0,110306.16666666667,Reparación / Servicio,6
01001-010078,4,2026,REPUESTO FALTANTE,SIN MARCA,10.0,89385.71428571429,Reparación / Servicio,7
01001-010078,5,2025,REPUESTO FALTANTE,SIN MARCA,5.0,96436.0,Reparación / Servicio,3
01001-010078,5,2026,REPUESTO FALTANTE,SIN MARCA,7.0,172416.25,Reparación / Servicio,4
01001-010078,6,2025,REPUESTO FALTANTE,SIN MARCA,4.0,56610.0,Reparación / Servicio,2
01001-010078,7,2025,REPUESTO FALTANTE,SIN MARCA,4.0,129119.5,Reparación / Servicio,2
01001-010078,8,2025,REPUESTO FALTANTE,SIN MARCA,1.0,58562.0,Reparación / Servicio,1
01001-010078,9,2025,REPUESTO FALTANTE,SIN MARCA,4.0,60493.75,Reparación / Servicio,4
01001-010078,10,2025,REPUESTO FALTANTE,SIN MARCA,2.0,80147.0,Reparación / Servicio,1
01001-010078,12,2025,REPUESTO FALTANTE,SIN MARCA,3.0,87465.5,Reparación / Servicio,2
01001-01008,2,2024,REPUESTO FALTANTE,SIN MARCA,5.0,143335.0,Reparación / Servicio,1
01001-01008,2,2025,REPUESTO FALTANTE,SIN MARCA,5.0,119124.0,Reparación / Servicio,1
01001-01008,3,2025,REPUESTO FALTANTE,SIN MARCA,8.0,119887.5,Reparación / Servicio,2
01001-01008,3,2026,REPUESTO FALTANTE,SIN MARCA,5.0,74155.0,Reparación / Servicio,1
01001-01008,4,2024,REPUESTO FALTANTE,SIN MARCA,11.0,148764.0,Reparación / Servicio,2
01001-01008,4,2025,REPUESTO FALTANTE,SIN MARCA,3.5,114751.0,Reparación / Servicio,2
01001-01008,5,2024,REPUESTO FALTANTE,SIN MARCA,10.0,105305.0,Reparación / Servicio,2
01001-01008,5,2025,REPUESTO FALTANTE,SIN MARCA,4.0,124703.0,Reparación / Servicio,1
01001-01008,6,2024,REPUESTO FALTANTE,SIN MARCA,3.0,107134.0,Reparación / Servicio,2
01001-01008,6,2025,REPUESTO FALTANTE,SIN MARCA,18.0,127464.0,Reparación / Servicio,3
01001-01008,8,2024,REPUESTO FALTANTE,SIN MARCA,5.5,103867.0,Reparación / Servicio,2
01001-01008,10,2024,REPUESTO FALTANTE,SIN MARCA,10.0,112979.0,Reparación / Servicio,2
01001-01008,11,2025,REPUESTO FALTANTE,SIN MARCA,5.0,66657.0,Reparación / Servicio,1
01001-01009,2,2024,REPUESTO FALTANTE,SIN MARCA,1.0,66656.0,Reparación / Servicio,1
01001-01009,3,2025,REPUESTO FALTANTE,SIN MARCA,4.0,117533.0,Reparación / Servicio,1
01001-01009,8,2024,REPUESTO FALTANTE,SIN MARCA,5.0,2.0,Reparación / Servicio,1
01001-01009,9,2024,REPUESTO FALTANTE,SIN MARCA,5.0,121154.0,Reparación / Servicio,1
01001-01009,11,2024,REPUESTO FALTANTE,SIN MARCA,1.0,90246.0,Reparación / Servicio,1
01001-01010,3,2024,REPUESTO FALTANTE,SIN MARCA,12.0,58251.5,Reparación / Servicio,2
01001-01011,2,2024,REPUESTO FALTANTE,SIN MARCA,9.0,115988.0,Reparación / Servicio,1
01001-01011,5,2024,REPUESTO FALTANTE,SIN MARCA,1.0,93750.0,Reparación / Servicio,1
01001-01011,6,2025,REPUESTO FALTANTE,SIN MARCA,2.0,294233.0,Reparación / Servicio,1
01001-01012,2,2025,REPUESTO FALTANTE,SIN MARCA,5.0,81912.0,Reparación / Servicio,1
01001-01012,3,2024,REPUESTO FALTANTE,SIN MARCA,8.0,143517.0,Reparación / Servicio,2
01001-01012,3,2025,REPUESTO FALTANTE,SIN MARCA,23.0,104548.66666666667,Reparación / Servicio,3
01001-01012,3,2026,REPUESTO FALTANTE,SIN MARCA,6.0,103119.0,Reparación / Servicio,1
01001-01012,4,2025,REPUESTO FALTANTE,SIN MARCA,7.0,162499.5,Reparación / Servicio,2
01001-01012,4,2026,REPUESTO FALTANTE,SIN MARCA,3.0,134932.0,Reparación / Servicio,1
01001-01012,5,2024,REPUESTO FALTANTE,SIN MARCA,3.0,106168.66666666667,Reparación / Servicio,3
01001-01012,6,2025,REPUESTO FALTANTE,SIN MARCA,4.0,42250.0,Reparación / Servicio,1
01001-01012,8,2025,REPUESTO FALTANTE,SIN MARCA,5.0,73318.0,Reparación / Servicio,1
01001-01012,9,2024,REPUESTO FALTANTE,SIN MARCA,4.0,82075.0,Reparación / Servicio,1
01001-01012,11,2024,REPUESTO FALTANTE,SIN MARCA,4.0,76322.0,Reparación / Servicio,1
01001-01012,11,2025,REPUESTO FALTANTE,SIN MARCA,5.0,50426.0,Reparación / Servicio,1
01001-01012,12,2024,REPUESTO FALTANTE,SIN MARCA,12.0,59261.0,Reparación / Servicio,2
01001-01013,3,2024,REPUESTO FALTANTE,SIN MARCA,0.5,10724.0,Reparación / Servicio,1
01001-01013,6,2025,REPUESTO FALTANTE,SIN MARCA,1.0,113861.0,Reparación / Servicio,1
01001-01013,9,2025,REPUESTO FALTANTE,SIN MARCA,2.0,98803.0,Reparación / Servicio,2
01001-01014,2,2025,REPUESTO FALTANTE,SIN MARCA,5.0,38401.0,Reparación / Servicio,1
01001-01014,3,2024,REPUESTO FALTANTE,SIN MARCA,6.0,59832.0,Reparación / Servicio,1
01001-01014,3,2025,REPUESTO FALTANTE,SIN MARCA,9.0,117533.0,Reparación / Servicio,1
01001-01014,7,2025,REPUESTO FALTANTE,SIN MARCA,4.0,67753.0,Reparación / Servicio,1
01001-01015,2,2025,REPUESTO FALTANTE,SIN MARCA,4.0,136465.75,Reparación / Servicio,4
01001-01015,7,2025,REPUESTO FALTANTE,SIN MARCA,4.0,251370.0,Reparación / Servicio,1
01001-01016,1,2025,REPUESTO FALTANTE,SIN MARCA,10.0,58998.0,Reparación / Servicio,2
01001-01016,1,2026,REPUESTO FALTANTE,SIN MARCA,13.0,75619.5,Reparación / Servicio,2
01001-01016,2,2025,REPUESTO FALTANTE,SIN MARCA,13.0,68152.5,Reparación / Servicio,2
01001-01016,2,2026,REPUESTO FALTANTE,SIN MARCA,5.0,143155.0,Reparación / Servicio,1
01001-01016,3,2024,REPUESTO FALTANTE,SIN MARCA,6.0,51846.0,Reparación / Servicio,1
01001-01016,3,2025,REPUESTO FALTANTE,SIN MARCA,7.0,68954.33333333333,Reparación / Servicio,3
01001-01016,3,2026,REPUESTO FALTANTE,SIN MARCA,6.0,27197.0,Reparación / Servicio,1
01001-01016,4,2024,REPUESTO FALTANTE,SIN MARCA,12.0,56787.5,Reparación / Servicio,2
01001-01016,4,2025,REPUESTO FALTANTE,SIN MARCA,23.0,87416.75,Reparación / Servicio,4
01001-01016,4,2026,REPUESTO FALTANTE,SIN MARCA,18.0,55217.0,Reparación / Servicio,3
01001-01016,6,2024,REPUESTO FALTANTE,SIN MARCA,19.0,68911.75,Reparación / Servicio,4
01001-01016,6,2025,REPUESTO FALTANTE,SIN MARCA,17.0,94994.66666666667,Reparación / Servicio,3
01001-01016,7,2024,REPUESTO FALTANTE,SIN MARCA,12.0,92817.5,Reparación / Servicio,2
01001-01016,8,2024,REPUESTO FALTANTE,SIN MARCA,18.0,64097.666666666664,Reparación / Servicio,3
01001-01016,9,2024,REPUESTO FALTANTE,SIN MARCA,58.5,66252.41666666667,Reparación / Servicio,12
01001-01016,9,2025,REPUESTO FALTANTE,SIN MARCA,20.0,68418.75,Reparación / Servicio,4
01001-01016,10,2024,REPUESTO FALTANTE,SIN MARCA,8.0,84677.0,Reparación / Servicio,1
01001-01016,10,2025,REPUESTO FALTANTE,SIN MARCA,11.0,112436.66666666667,Reparación / Servicio,3
01001-01016,11,2024,REPUESTO FALTANTE,SIN MARCA,14.5,45523.0,Reparación / Servicio,3
01001-01016,11,2025,REPUESTO FALTANTE,SIN MARCA,19.0,54224.333333333336,Reparación / Servicio,3
01001-01016,12,2024,REPUESTO FALTANTE,SIN MARCA,18.0,53318.0,Reparación / Servicio,4
01001-01016,12,2025,REPUESTO FALTANTE,SIN MARCA,4.5,40568.0,Reparación / Servicio,1
01001-01017,1,2025,REPUESTO FALTANTE,SIN MARCA,4.0,58637.0,Reparación / Servicio,2
01001-01017,3,2024,REPUESTO FALTANTE,SIN MARCA,2.0,65416.5,Reparación / Servicio,2
01001-01017,3,2026,REPUESTO FALTANTE,SIN MARCA,1.0,74155.0,Reparación / Servicio,1
01001-01017,4,2025,REPUESTO FALTANTE,SIN MARCA,1.0,144740.0,Reparación / Servicio,1
01001-01017,4,2026,REPUESTO FALTANTE,SIN MARCA,2.0,72480.0,Reparación / Servicio,2
01001-01017,5,2025,REPUESTO FALTANTE,SIN MARCA,1.0,78835.0,Reparación / Servicio,1
01001-01017,6,2025,REPUESTO FALTANTE,SIN MARCA,2.0,48323.0,Reparación / Servicio,2
01001-01017,10,2024,REPUESTO FALTANTE,SIN MARCA,1.0,87685.0,Reparación / Servicio,1
01001-01017,12,2025,REPUESTO FALTANTE,SIN MARCA,1.0,82791.0,Reparación / Servicio,1
01001-01018,3,2024,REPUESTO FALTANTE,SIN MARCA,4.0,128382.0,Reparación / Servicio,1
01001-01018,5,2024,REPUESTO FALTANTE,SIN MARCA,4.0,138480.0,Reparación / Servicio,1
01001-01018,9,2024,REPUESTO FALTANTE,SIN MARCA,4.0,128434.0,Reparación / Servicio,1
01001-01019,3,2024,REPUESTO FALTANTE,SIN MARCA,1.0,152232.0,Reparación / Servicio,1
01001-01019,3,2025,REPUESTO FALTANTE,SIN MARCA,1.0,214200.0,Reparación / Servicio,1
01001-01019,4,2024,REPUESTO FALTANTE,SIN MARCA,2.0,252845.0,Reparación / Servicio,2
01001-01019,4,2025,REPUESTO FALTANTE,SIN MARCA,1.5,184203.0,Reparación / Servicio,2
01001-01019,7,2025,REPUESTO FALTANTE,SIN MARCA,1.0,129918.0,Reparación / Servicio,1
01001-01020,2,2024,REPUESTO FALTANTE MANUAL,SIN MARCA,1.0,1.0,Reparación / Servicio,1
01001-01020,4,2024,REPUESTO FALTANTE MANUAL,SIN MARCA,1.0,84793.0,Reparación / Servicio,1
01001-01020,7,2024,REPUESTO FALTANTE MANUAL,SIN MARCA,1.5,129469.0,Reparación / Servicio,1
01001-01021,4,2024,REPUESTO FALTANTE,SIN MARCA,1.0,73123.0,Reparación / Servicio,1
01001-01022,1,2026,REPUESTO FALTANTE,SIN MARCA,7.0,105740.0,Reparación / Servicio,1
01001-01022,2,2025,REPUESTO FALTANTE,SIN MARCA,24.0,86365.0,Reparación / Servicio,3
01001-01022,2,2026,REPUESTO FALTANTE,SIN MARCA,13.0,89765.0,Reparación / Servicio,2
01001-01022,3,2025,REPUESTO FALTANTE,SIN MARCA,8.0,94895.0,Reparación / Servicio,1
01001-01022,3,2026,REPUESTO FALTANTE,SIN MARCA,6.0,97589.0,Reparación / Servicio,1
01001-01022,4,2025,REPUESTO FALTANTE,SIN MARCA,7.0,159983.0,Reparación / Servicio,1
01001-01022,5,2024,REPUESTO FALTANTE,SIN MARCA,14.0,66730.5,Reparación / Servicio,2
01001-01022,5,2025,REPUESTO FALTANTE,SIN MARCA,21.0,137578.66666666666,Reparación / Servicio,3
01001-01022,7,2024,REPUESTO FALTANTE,SIN MARCA,15.0,129469.0,Reparación / Servicio,3
01001-01022,8,2024,REPUESTO FALTANTE,SIN MARCA,5.0,56510.0,Reparación / Servicio,1
01001-01022,8,2025,REPUESTO FALTANTE,SIN MARCA,14.0,92991.5,Reparación / Servicio,2
01001-01022,9,2024,REPUESTO FALTANTE,SIN MARCA,14.0,155959.0,Reparación / Servicio,2
01001-01022,10,2025,REPUESTO FALTANTE,SIN MARCA,6.0,80218.0,Reparación / Servicio,1
01001-01022,11,2024,REPUESTO FALTANTE,SIN MARCA,8.0,85566.0,Reparación / Servicio,1
01001-01022,12,2024,REPUESTO FALTANTE,SIN MARCA,6.0,64423.0,Reparación / Servicio,1
01001-01022,12,2025,REPUESTO FALTANTE,SIN MARCA,16.0,106605.5,Reparación / Servicio,2
01001-01023,5,2024,REPUESTO FALTANTE,SIN MARCA,3.0,138480.0,Reparación / Servicio,1
01001-01023,5,2026,REPUESTO FALTANTE,SIN MARCA,1.0,320076.0,Reparación / Servicio,1
01001-01023,6,2024,REPUESTO FALTANTE,SIN MARCA,1.0,139625.0,Reparación / Servicio,1
01001-01024,6,2024,REPUESTO FALTANTE,SIN MARCA,7.0,84146.0,Reparación / Servicio,1
01001-01024,11,2024,REPUESTO FALTANTE,SIN MARCA,6.0,93987.0,Reparación / Servicio,1
01001-01025,4,2025,REPUESTO FALTANTE,SIN MARCA,6.0,82104.0,Reparación / Servicio,1
01001-01025,7,2024,REPUESTO FALTANTE,SIN MARCA,8.0,138199.0,Reparación / Servicio,1
01001-01026,4,2025,REPUESTO FALTANTE,SIN MARCA,1.0,114005.0,Reparación / Servicio,1
01001-01026,5,2024,REPUESTO FALTANTE,SIN MARCA,2.0,138480.0,Reparación / Servicio,2
01001-01026,7,2024,REPUESTO FALTANTE,SIN MARCA,1.5,92038.0,Reparación / Servicio,1
01001-01026,7,2025,REPUESTO FALTANTE,SIN MARCA,1.0,89454.0,Reparación / Servicio,1
01001-01026,8,2024,REPUESTO FALTANTE,SIN MARCA,1.5,47346.0,Reparación / Servicio,1
01001-01026,8,2025,REPUESTO FALTANTE,SIN MARCA,5.0,83472.0,Reparación / Servicio,3
01001-01026,9,2024,REPUESTO FALTANTE,SIN MARCA,3.5,90671.0,Reparación / Servicio,2
01001-01026,10,2024,REPUESTO FALTANTE,SIN MARCA,2.0,84677.0,Reparación / Servicio,1
01001-01026,11,2024,REPUESTO FALTANTE,SIN MARCA,1.0,127617.0,Reparación / Servicio,1
01001-01026,12,2024,REPUESTO FALTANTE,SIN MARCA,2.0,90928.0,Reparación / Servicio,1
01001-01027,5,2024,REPUESTO FALTANTE,SIN MARCA,3.0,138480.0,Reparación / Servicio,1
