OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO
10000036,05/06/2023 05:40:01 PM,B7N172 ,10000039,99,,R,,141692,12/06/2023 12:37:50 PM,KNAPB811BB7143698,S7,05/06/2023 05:42:21 PM,PLATA,SERVICIO CORRECTIVO Y PREVENTIVO
10000040,13/06/2023 05:39:58 PM,APM124 ,10000015,99,,R,,66105,13/06/2023 05:58:36 PM,JF1BS9LC2GG073669,S7,13/06/2023 05:40:49 PM,GRIS,SERVICIO MENOR
10000043,22/06/2023 12:06:00 AM,BAB414 ,10002760,99,,R,,58218,29/04/2024 11:38:46 AM,WBAWY9107H0F78095,S7,11/07/2023 01:13:54 PM,PLATA,PLANCHADO Y PINTURA REP Y PINTADO DE AROS 
10000044,04/07/2023 03:50:44 PM,CCT418 ,10000101,99,,R,,4673,01/04/2024 11:06:50 AM,MZBEP814BPN400824,S9,04/07/2023 04:01:11 PM,ROJO INTENSO,P Y P UNDERCOATING Y ZINCADO TRATAMIENTO PINTURA E INTERIORES
10000046,11/07/2023 05:12:15 PM,C0A476 ,10000055,99,,R,,106663,05/12/2023 07:58:29 AM,KNAKU811DC5348052,S7,11/07/2023 05:13:33 PM,,SERVICIO MENOR
10000048,17/07/2023 12:24:30 PM,AXB078 ,10002761,99,,R,,51249,02/08/2024 12:10:40 PM,LSYYDACB9HC101154,S7,17/07/2023 03:45:46 PM,PLATA,PLANCHADO Y PINTURA
10000050,17/07/2023 12:00:00 AM,F3F400 ,10002766,99,,R,,94895,03/09/2024 09:27:54 AM,KMHJM81BPGU946090,S9,18/07/2023 02:27:47 PM,VERDE OSCURO,SERVICIO MENOR LIMPIEZA DE SWICH DE LUNAS
10000054,18/09/2023 08:45:00 AM,A4L439 ,10002774,99,,R,,132082,18/09/2023 06:04:57 PM,KNAKU811BA5077105,S7,18/09/2023 04:29:35 PM,MARRON,REPARACION DE CREMALLERA Y CAMBIO PONCHO DE PALIER RH
10000055,20/09/2023 02:53:38 PM,BRB621 ,10002773,99,,R,,21488,31/07/2024 05:13:26 PM,JF1GK3LC5LG011070,S7,20/09/2023 02:55:13 PM,AZUL OSCURO PERLADO,P Y P
10000062,04/01/2024 12:15:41 PM,AKL373 ,10000057,99,,R,,224825,11/03/2024 09:23:19 AM,JHLRE3830AC200348,S6,04/01/2024 08:22:14 PM,GRIS,CLIENTE SOLICITA: REVISI?N POR FUGA DE ACEITE REVISI?N GENERAL
10000063,16/01/2024 06:39:26 PM,AXK484 ,10002785,99,,R,,117061,28/08/2024 04:47:35 PM,YV1SZ595771288669,S6,21/03/2024 07:33:32 PM,,"DIAGNOSTICO GENERAL POR: FUGAS DE ACEITE, RADIO Y MANTENIMIENTO CHOFER JORDAN GARCIA 931299238"
10000064,06/02/2024 12:00:00 AM,BUH585 ,10002786,99,,R,,23106,11/09/2024 08:41:51 AM,LJ12EKR24N4000377,S9,11/09/2024 08:41:28 AM,ROJO,SERVICIO MANTENIMIENTO
10000070,19/02/2024 10:28:48 AM,AMT193 ,10002023,99,,R,,73427,22/02/2024 07:13:11 PM,9FBHSRAA5GM885369,S7,20/02/2024 10:13:19 AM,VERDE AMAZONIA,CAMBIO DE DISCOS DE FRENO
10000075,21/02/2024 09:15:11 AM,B0A494 ,10000455,99,,R,,143335,22/02/2024 07:10:26 PM,JHLRE3830BC202164,S7,22/02/2024 07:09:47 PM,,Servicio menor Revisar frenos y discos Revisión general
10000003,07/11/2019 10:53:39 AM,F4J461 ,10000007,99,,R,,44296,05/09/2024 07:39:43 PM,KMHJT81EBEU817959,S6,13/01/2023 10:59:16 AM,GRIS,Servicio mayor.
10000008,06/02/2023 05:36:46 PM,A3P149 ,10000037,99,,R,,58877,01/04/2024 03:51:48 PM,KNMC4C2HMAP782415,S6,08/02/2023 05:56:56 PM,AZUL,cambio de aceite de caja. cambio de valvula tps
10000021,07/03/2023 02:21:52 PM,M4A323 ,10002740,99,,R,,122822,23/02/2026 01:11:11 PM,KL1TM52718B110328,S6,23/02/2026 01:11:04 PM,ROJO,MANTENIMIENTO CORRECTIVO
10000024,01/03/2023 03:21:00 PM,A6Z560 ,10002750,99,,R,,165720,23/02/2026 01:11:47 PM,JTEHH20V500151513,S6,10/04/2023 03:22:54 PM,VERDE,CAMBIO DE PASTILLAS DE FRENOS Y ZAPATAS
10000032,23/05/2023 01:35:04 PM,CCH291 ,10002751,99,,R,,165000,26/03/2024 09:21:49 AM,KMHSG81DP9U415338,S6,23/05/2023 01:46:11 PM,GRIS,cambio de manguera de agua
10000045,11/07/2023 01:27:00 PM,AJL360 ,10000033,99,,R,,103948,29/05/2024 08:51:13 AM,3HGRM3830FG602341,S7,11/07/2023 05:10:12 PM,AZUL,SERVICIO MAYOR
10000058,23/11/2023 12:00:00 AM,F7U399 ,10002780,99,,R,,71681,02/08/2024 10:59:57 AM,1C4RJFAG2EC234147,S7,02/08/2024 10:58:34 AM,AZUL ACERO,SERVICIO CORRECTIVO SERVICIO PREVENTIVO
10000059,24/11/2023 02:42:38 PM,APM319 ,10000087,99,,R,,77096,01/08/2024 11:20:49 AM,4P3XNGA2WFE903496,S7,24/11/2023 02:45:57 PM,,SERVICIO PREVENTIVO MAYOR
10000061,26/12/2023 10:19:34 AM,BFI030 ,10002782,99,,R,,46813,18/03/2024 09:43:49 AM,WDC0G4GB6JF412958,S9,26/12/2023 10:23:04 AM,,1) SERVICIO DE MANTENIMIENTO 2) COTIZAR LUNETA DE ESPEJO EXTERIOR DERECHO 3) ENVIAR VEHICULO A DOMICILIO (LA MOLINA)
10000065,12/02/2024 12:00:00 AM,B2X433 ,10002787,99,,R,,94572,14/02/2024 05:21:11 PM,KL1TM5C75BB135173,S6,14/02/2024 09:50:56 AM,ROJO FLAMA,"SERVICIO CORRECTIVO CAMBIO DE MANGUERA DE RADIADOR, SUP E INF. CAMBIO DE BRIDA CAMBIO DE MANGUERA DE RECIRCULACION"
10000066,14/02/2024 09:00:00 AM,C7L516 ,10002788,99,,R,,98910,22/02/2024 07:17:10 PM,19XFB2550CE500989,S9,14/02/2024 02:49:19 PM,,Cliente manifiesta: Cambios manuales a veces no pueden realizarse. Revisar sistema de embrague.
10000073,20/02/2024 06:50:48 PM,AAA610 ,10000085,99,,R,,136909,14/07/2025 07:59:32 AM,5FNYF4850FB601440,S7,20/02/2024 07:06:06 PM,,Cliente solicita: 1) Revisar vibración de timón sobre los 90 Kilómetros por hora (kph). 2) Eliminar sonido de rechinido al mover el timón. 3) Arreglar persiana de consola central. 4) Cotizar pintura de aros en color negro mate. 5) Cotizar levantar suspensión lo máximo posible sin comprometer la estabilidad. 6) Cotizar pantalla central con Android Auto y Apple Car Play. 7) Cotizar instalar lámina oscura para faros posteriores. 
10000074,20/02/2024 07:06:31 PM,AWM314 ,10002792,99,,R,,132586,22/02/2024 07:11:47 PM,JMYXNGA2WHZ000833,S7,21/02/2024 10:11:45 AM,PLATA ACERO,Servicio Mantenimiento mayor
10000077,22/02/2024 06:26:51 PM,F2W019 ,10002794,99,,R,,120668,21/08/2024 10:47:35 AM,KMHJM81BP7U701787,S7,22/02/2024 06:38:02 PM,AZUL OSCURO, REVISION GENERAL CAMBIO DE RADIADOR LAVADO DE SALON 
10000083,27/02/2024 12:00:00 AM,ALT294 ,10002799,99,,R,,137884,23/02/2026 01:18:14 PM,JTMZD9EV0FD060527,S6,27/02/2024 03:31:37 PM,NEGRO METALICO,MANT. DE INYECTORES REVISION TECNICA LAVADO FOCO DE FRENO
10000085,29/02/2024 09:26:50 AM,BXL606 ,10002801,99,,R,,29224,23/02/2026 01:19:08 PM,LZWADAGA4MB021566,S7,05/03/2024 05:13:41 PM,GRIS,INSPECIÓN GENERAL
10000086,29/02/2024 10:32:50 AM,D1J494 ,10002746,99,,R,,37206,03/01/2025 10:56:51 AM,KNAPC811AD7389447,S7,03/01/2025 10:56:46 AM,ROJO SEÑAL,INSPECCION GENERAL MANTENIMIENTO CORRECTIVO MAYOR COTIZAR: KIT DE EMBRAGUE
10000087,04/03/2024 08:11:35 AM,APO174 ,10002804,99,,R,,51875,05/03/2024 03:13:18 PM,5KBYF5850GB601587,S6,04/03/2024 08:31:56 AM,NEGRO CRYSTAL,REVISION GENERAL REVISAR SISTEMA DE ENCENDIDO
10000088,04/03/2024 08:33:22 AM,ANB015 ,10002803,99,,R,,51515,05/03/2024 03:15:57 PM,YV1MV41H0G2307734,S6,04/03/2024 09:42:42 AM,BLANCO,REVISION GENERAL SERVICIO MAYOR
10000089,04/03/2024 12:46:33 PM,BYU196 ,10002805,99,,R,,16870,05/03/2024 03:19:41 PM,LB37522Z1NL003542,S6,04/03/2024 03:18:38 PM,VERDE,CLIENTE SOLICITA: 1) SERVICIO MENOR CON CAMBIO DE FILTRO DE AIRE Y AC. 
10000090,04/03/2024 03:21:12 PM,AUC032 ,10002736,99,,R,,67470,08/03/2024 05:14:14 PM,3HGRM3850GG601057,S6,08/03/2024 05:39:44 PM,ROJO COPPER,CLIENTE SOLICITA: 1) SERVICIO MENOR 2) REVISAR BRILLO DE PINTURA DE PUERTAS POSTERIORES Y FUNDA DELANTERA (SE PINTARON EN EL 2022)
10000005,24/01/2023 12:08:54 PM,F6G040 ,10000049,99,,R,,59712,24/01/2023 05:41:13 PM,WBA3A1105EJ611090,S6,24/01/2023 01:40:43 PM,GRIS,Cambio de pastillas delt.
10000006,25/01/2023 01:11:49 PM,BLD160 ,10002732,99,,R,,26610,23/02/2026 01:09:30 PM,WBA1R5105K5K61083,S6,25/01/2023 02:32:12 PM,PLATA,SERVICIO MENOR CAMBIO DE FRENOS POST.
10000010,09/02/2023 12:29:04 PM,AUC032 ,10002736,99,,R,,55170,04/03/2024 03:19:37 PM,3HGRM3850GG601057,S6,04/03/2024 03:18:52 PM,ROJO,SERVICIO MENOR
10000011,02/02/2023 12:43:58 PM,AEJ500 ,10000097,99,,R,,55368,22/01/2026 08:44:43 AM,JTMZD9EV9ED034491,S6,09/02/2023 12:45:37 PM,,Servicio Menor
10000020,28/02/2023 04:39:16 PM,F3S009 ,10002747,99,,R,,118710,16/04/2024 10:49:46 AM,WAUZZZ8K2EA001933,S6,28/02/2023 04:40:32 PM,PLATA,CAMBIO DE PUNTAS Y COPAS DE PALIER SENSOR DE EJE DE LEVAS
10000035,31/05/2023 03:24:29 PM,AXX006 ,10002758,99,,R,,61704,23/02/2026 01:12:25 PM,JM7DK2W7AJ0132966,S6,31/05/2023 03:25:48 PM,BLANCO,PLANCHADO Y PINTURA
10000037,07/06/2023 03:41:12 PM,BNW534 ,10002754,99,,R,,46250,23/02/2026 01:12:49 PM,3KPA241AALE248021,S9,07/06/2023 03:47:13 PM,NEGRO,PYP
10000038,14/04/2023 12:00:00 AM,ABS454 ,10000036,99,,R,,81684,12/06/2023 12:42:03 PM,WAUZZZ8KXEA129658,S6,12/06/2023 12:42:12 PM,NEGRO,REPARACIÓN DE MOTOR
10000041,15/06/2023 11:40:21 AM,ECD909 ,10002762,99,,R,,41236,02/08/2024 04:03:07 PM,KMJWA37RADU610626,S7,15/06/2023 11:43:03 AM,BLANCO,PLANCHADO Y PINTURA.
10000042,22/06/2023 12:00:00 AM,BKK694 ,10002763,99,,R,,219256,17/07/2023 04:41:42 PM,ST191010087800000,S7,17/07/2023 04:40:20 PM,,SERVICIO MAYOR MANT. Y REP. DE BOMBINES DE FRENO MANGUERA DE AGUA ABRAZADERAS
10000053,11/09/2023 12:00:00 AM,ACI157 ,10002772,99,,R,,73812,02/08/2024 12:00:49 PM,VF7RD5FCAFL500050,S7,12/09/2023 11:45:04 AM,GRIS CLARO,CLIENTE MANIFIESTA CONSUMO EXCESIVO DE ACEITE
10000056,21/09/2023 11:30:00 AM,F8U208 ,10002776,99,,R,,88298,02/08/2024 11:52:43 AM,1C4RJEAG4EC228280,S7,21/09/2023 02:21:44 PM,PLATA,SERVICIO CORRECTIVO CAMBIO DE TRAPECIO SUP. PYP
10000057,25/10/2023 09:46:41 AM,ATR628 ,10002777,99,,R,,16647,23/02/2026 01:13:39 PM,WBA8E3105HK791305,S6,25/10/2023 05:41:51 PM,MORRON JATOBA,SERVICIO MENOR ZINCADO TUBO DE ESCAPE
10000071,19/02/2024 12:30:13 PM,A8Z428 ,10001725,99,,R,,79530,30/03/2024 09:47:57 AM,WBAZV8106BLL58899,S6,30/03/2024 09:35:09 AM,GRIS SPACE METALIZAD,CLIENTE SOLICITA: 1) Diagnostico por testigo de falta de potencia y motor inestable 2) Reparacion de inyectores de combustible 3) Cambio de aceite y filtro de aceite de motor 4) Cambio de bujias 5) Reprogramacion de computadora 6) Abastecer combustible por S/.400 soles. 
10000076,21/02/2024 06:39:24 PM,P2S031 ,10002793,99,,R,,6084,02/12/2024 08:27:12 AM,3N1AB7AD1GL635981,S9,21/02/2024 07:35:05 PM,GRIS,PLANCHADO Y PINTURA GUARDAFANGO POST. DER PUERTA DELT. IZQ PUERTA POST. IZQ PUERTA POST. DER 
10000079,23/02/2024 12:19:59 PM,BCR598 ,10002796,99,,R,,34827,23/02/2026 01:17:32 PM,JM7DK4W76J1308742,S9,23/02/2024 12:34:16 PM,GRIS,PLANCHADO Y PINTURA GUARDAFANDO DELT RH
10000082,26/02/2024 05:59:40 PM,ALE308 ,10000057,99,,R,,115988,13/03/2025 01:01:57 PM,1J4GL48K65W528255,S7,26/02/2024 05:59:40 PM,GRIS,"Cliente solicita: 1) Revisar parte baja, sufrió un golpe. 2) Revisar vibración al iniciar la primera marcha, como si algo golpeteara en la parte baja. 3) Revisar sonido al encender el aire acondicionado. 4) Escanear vehículo, presenta testigo de motor y de airbag encendidos. 5) Revisar dirección, se desvía hacia la derecha."
10000091,05/03/2024 08:54:56 AM,AXK006 ,10002806,99,,R,,64988,08/03/2024 06:23:19 PM,SALCA2BG3HH648129,S6,08/03/2024 06:22:28 PM,BLANCO,"CLIENTE SOLICITA: 1) VERIFICAR QU¿ TIPO DE SERVICIO REQUIERE 2) PRESUPUESTAR PYP (PLANCHADO Y PINTURA) DE: FUNDA DELANTERA DE PARACHOQUE, GUARDAFANGO DELANTERO DERECHO, PUERTA DELANTERA DERECHA."
10000092,05/03/2024 02:06:49 PM,BFU527 ,10002807,99,,R,,59832,04/04/2024 11:15:31 AM,19XFC2660JE500187,S6,21/08/2025 12:49:36 PM,NEGRO CRYSTAL,CLIENTA SOLICITA: 1) CAMBIO DE PUNTA EXTERIOR DE PALIER IZQUIERDO. 2) CAMBIO DE LIQUIDO DE FRENO.
10000093,05/03/2024 02:16:22 PM,B0A494 ,10000455,99,,R,,143517,08/03/2024 06:33:57 PM,JHLRE3830BC202164,S6,05/03/2024 04:06:47 PM,,"CLIENTE SOLICITA: 1) REPARACION DE CREMALLERA DE DIRECCION. 2) CAMBIO DE EMPAQUES PARA ELIMINAR FUGAS DE ACEITE. - CAMBIO DE VALVULA V-TEC, VTC Y ANILLOS - CAMBIO DE RETEN DE PALIER RH "
10000107,18/03/2024 11:48:59 AM,F6D629 ,10002816,99,,R,,89883,21/03/2024 04:20:51 PM,WAUZZZ8K0EA055859,S6,18/03/2024 11:48:59 AM,GRIS MONSOON,Cliente solicita: 1) Revision por motor inestable 2) Revision por vibracion en pista sobre 60kph. (kilometros por hora) 3) Revision por vibracion al colocar reversa 4) Revision de niveles 5) Cotizacion de cambio de aceite y filtro de aceite de motor
10000122,01/04/2024 11:06:57 AM,CCT418 ,10000101,99,,R,,8256,25/04/2024 01:28:05 PM,MZBEP814BPN400824,S6,25/04/2024 02:22:01 PM,ROJO INTENSO,CLIENTE SOLICITA: 1) PLANCHADO Y PINTURA DE MALETERA 2) PINTURA DE SPOILER INFERIOR DE PARACHOQUE DELANTERO
10000143,15/04/2024 10:57:40 AM,D8T476 ,10002836,99,,R,,141924,01/10/2024 07:48:14 PM,1C4AJPAB9DD218835,S6,31/05/2024 11:43:55 AM,PLATA,REVISIÓN GENERAL CAMBIO SOPORTE SUPERIOR DE CAJA AUTOMÁTICA CAMBIO EMPAQUE TAPA DE BALANCINES CAMBIO PERNO Y TUERCA MÚLTIPLE DE ESCAPE CAMBIO PASTILLAS DELANTERAS JGO. RECTIFICADO DE DISCOS DELT. PARCHAR LLANTA DELT.
10000178,13/05/2024 09:15:07 AM,ACV595 ,10002840,99,,R,,105305,20/05/2024 06:07:09 PM,WBA3A110XFJ614648,S7,13/05/2024 07:15:22 PM,BLANCO ALPINO,"CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) CAMBIO DE PLUMILLAS. 3) REVISAR MARCO DE NEBLINERO DERECHO, SE DESPRENDIO POR UN GOLPE. 4) PRESUPUESTAR PYP PARTES AFECTADAS."
10000179,13/05/2024 10:05:23 AM,BTL071 ,10002747,99,,R,,31395,21/05/2024 11:58:25 AM,5KBYF5810LB600176,S7,13/05/2024 10:16:14 AM,PLATA SILVER,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) AJUSTAR TAPASOL PILOTO. 3) REVISAR NIVELES DE FLUIDOS. 
10000213,13/06/2024 10:52:28 AM,D6P221 ,10000014,99,,R,,104616,17/06/2024 07:13:36 PM,KMHST81CBDU065266,S6,13/06/2024 04:34:33 PM,GUINDA,CLIENTE SOLICITA: 1) Mantenimiento mayor. 2) Revision de testigos encendidos en el tablero. 3) Revision mando a distancia. 
10000218,17/06/2024 02:19:01 PM,ACV595 ,10002840,99,,R,,107134,17/06/2024 04:33:51 PM,WBA3A110XFJ614648,S6,17/06/2024 04:34:44 PM,BLANCO ALPINO,-INSTALACION DE 02 ARTICULACIONES DELT. -RELLENADO DE ACEITE DE MOTOR 10W40 (01 LITRO Y MEDIO) -CAMBIO DE FOCO DE 01 CONT. BASE METAL
10000223,24/06/2024 09:30:54 AM,BKZ689 ,10002853,99,,R,,84146,24/06/2024 02:09:40 PM,JMYXTGA2WKU002736,S7,24/06/2024 02:10:25 PM,BLANCO PERLA,*CAMBIO DE ACEITE DE CAJA CVT *CAMBIO DE FILTROS DE ACEITE DE CAJA
10000224,24/06/2024 09:58:11 AM,BMA515 ,10002754,99,,R,,29100,29/06/2024 02:23:31 PM,3KPA241AALE255005,S7,24/06/2024 09:59:52 AM,BLANCO CLARO,MANTENIMIENTO MAYOR CLIENTE TRAJO FILTROS
